address,maxClaimable,price
0x9e663f47b2a8b1c5a5ff283eb69b5076454ca8ed,1,0.00
0xbd856773c538368eb6e58037cd36095adf909b73,1,0.00
0x77a04d766e4ff208c26de5d1caf955adbf2fae8b,1,0.00
0xc8359eec979e67fce843d7c0be314a7a3982cd91,1,0.00
0xd1e6cafa9390fcc36f4309c8f847f977ca2a985b,1,0.00
0x19dd2a922e6da1b6354ded1e9cc070140eef0bad,1,0.00
0x748aa98391a90b4d963bf242144c3b6ac11d01c4,1,0.00
0xd98e732c05023fe6eaff131dc12a16e7f693ee17,1,0.00
0x8d12b962f98d6a0c968ee9ea15c2dc971fcbf316,1,0.00
0x0547ad4c8b50b1c3f6d14769cae651371e1fdece,1,0.00
0x79a64d313c47c8f389bed701b78205fd287d41b8,1,0.00
0x20509d1e8ffbfb5f46e4cda45ff5dfa97ab939aa,1,0.00
0x793e5fb63c45067a434158d4e28533136108346b,1,0.00
0x5584f77ebe4e4968031f81f0fe78581ee54c7f87,1,0.00
0x0608d11e799a74717af64530ac1ccd16742f294b,1,0.00
0xdec9b270bb5aad2cb5fde1c19d39704a274f2f35,1,0.00
0x5c236adf1fb675e5be1124a81e640e94d5865ba7,1,0.00
0x2c4efc1229db8803bc57363ed449cfdccd220356,1,0.00
0x0d4eaedcc47baa81d29dd35eab84a10c58fa6c44,1,0.00
0x1c21415bb60f6a77927af3ced3b0b10d584e83b8,1,0.00
0x06cc86506e45941defcf9b8339eb6c55d038464b,1,0.00
0xafae235e67c3a7a004ae71cc469c643b8cfc1355,1,0.00
0xe9db09c6c815bb55acb0e7dea7e28b691f98201a,1,0.00
0xcda72070e455bb31c7690a170224ce43623d0b6f,1,0.00
0x22976f1dafb5a4c851fa69ac7279228a49c50dbe,1,0.00
0x42e7a4bde4fd9a1ac943371db4a450be6729b895,1,0.00
0x3133c134a7ec5d8911da3567313b0aa5cd73dbf1,1,0.00
0xd108954e2c9d22eb6d231c414b6980d06014d2d9,1,0.00
0x30dec07af807a47c4c5a2ba69a22738831f002b8,1,0.00
0x0ba3623d2ea6bb1c39f5a95607ff11505ddc9a2d,1,0.00
0x17e36bae60948757eae35748d45a8ccecbe7f7e6,1,0.00
0x696969917d14af0eccd470b0797a447087aba094,1,0.00
0x9eeab55272f38f624a56995cd719d577364e2a7c,1,0.00
0xa01c0735c7ca5f8efc1e63efa5f2d1c4fc1a4714,1,0.00
0x597bbfed97ffa6f4be9510934863b1903b45a1b3,1,0.00
0x28d6d307aa1f3da669aa0aaed45ead4117866a16,1,0.00
0x6901a4c2f80f216eea22b284f5a977fd9f66288a,1,0.00
0xdead7c4a317c2c5b90ad3d3f4fbde992df5222b4,1,0.00
0xcccd1e869418df5e40d970085567fe68b27b3d3b,1,0.00
0x70c01d05841b69289f25cc405df8117f018f4117,1,0.00
0x66e068e20c9427890e8bc1b81b33277e84a1e8a4,1,0.00
0x6903f144a9e6da18313c51df9e4b83635debbc15,1,0.00
0xae6f94f63cf9b8b793db3fa6f8215d4f933b1f66,1,0.00
0x3d25e53c82a4446dcc23f32edaff430ca60a501d,1,0.00
0x983672eca49c88da7123eb77a1871c6d6de5b32e,1,0.00
0xfb0068b46d85a6e08ff6efc138a716a3634ec2d2,1,0.00
0x25aaa70dd6567ec36e7a6885b0e20b8e9fcd794c,1,0.00
0xbc828b12db3c8aa0335b09c715358cee7ce40e5b,1,0.00
0x510e4275fdffc079f95421b1487a31cac5c70369,1,0.00
0x0be3825a0a92b206d1ca1e9e60e793f31fa11eb3,1,0.00
0xfaded1038e430c866ae93d6b61da8edd4b28f067,1,0.00
0x69420f0cde588d9d35df060085ca200afdd80a5c,1,0.00
0xd9e784ad8bdd2c59470025418df4deae0d2f3c70,1,0.00
0xf1a1ef114e9416b2f49a8a84fda34af165a97686,1,0.00
0xe38064adbd04738cc570aeec49ded154df00a153,1,0.00
0xdefaced6a03f09d084b4ce120e3f0f12a9ec7a0d,1,0.00
0x3c62bdc76f27c8e6939a93fb7cad0980cd646e28,1,0.00
0x500aca753ad4f7033146652b984272fb2c0aa156,1,0.00
0x0b2095ed0377f44e7ee71883469a2983b8ebc96c,1,0.00
0x99bb99285d439864c66df0c44a9a8c917aecb72a,1,0.00
0x413757c39525844c93cff8ea97890c352beb53a6,1,0.00
0x4692039763e8a8fd9f085b517bb53d05477dd22f,1,0.00
0x686a680be0b99c6d988b1408f750f7e5f485af89,1,0.00
0x0366c6d5266b4a4367bbd424ba474767a5fb6242,1,0.00
0x161fb9c77fe29272ca063f247933d69b8e96c639,1,0.00
0x52952f6cd77e1211a4dee864e8dbe82191f8f27f,1,0.00
0xee991610f4b22892e8412b7b6ac62037e8d46c8e,1,0.00
0x7cab7b18396d3fe40946c0fd9399332ef474c113,1,0.00
0x8ced8cea1af3afc5d3865204ecc947b57e787a61,1,0.00
0x513a21eb8651840eb9c97364449a17e4fe308035,1,0.00
0xd6b0719be0240827165faa3bb7e1b0dcfe050c92,1,0.00
0xc35721e0b789aacc1ff06c5dec2ec5ffe345588a,1,0.00
0x19dd2a922e6da1b6354ded1e9cc070140eef0bad,1,0.00
0x856f87169eaab59808ffee3323097b1a1f36364f,1,0.00
0xe43b14109b9d7ebfac89f36e464ff36703dd64eb,1,0.00
0xfa3454b57d0b1a61d882929f1386f5d6532dbcb8,1,0.00
0x30dec07af807a47c4c5a2ba69a22738831f002b8,1,0.00
0xe752dc2d75846c97664949317804656bffaf4a99,1,0.00
0x6fe085d0d6385cdd63867a1d6ee1a0fe86db9e99,1,0.00
0xf4266b0527ab7326ccc430a762810d32fc9ad425,1,0.00
0x7af857e70e65f9295f3ac83fb165f2d4af33b6a3,1,0.00
0x10c624b118f5bfb41dd8c895b72949f4c2f59d30,1,0.00
0xed24cc340fff9eb3360e5b54d62faddc5ce75371,1,0.00
0xa5c2551b515109f58a324f55b271471082710e23,1,0.00
0x5b4f87cadc9625cb9b9cff449324d204e799d19a,1,0.00
0x9b0726e95e72eb6f305b472828b88d2d2bdd41c7,1,0.00
0x888b9f0fd42cffa5074cc989ba72f5fe77283c75,1,0.00
0xbecf3c853f8ffcdf17f5b12a8f359be819c8c8f4,1,0.00
0x1648f12ac2bbb2080f3bed5303fff2268d0f577c,1,0.00
0x6d22c63fab8f9c4447a486fefb9b60fbc0d91d0d,1,0.00
0xc1a8ce46664bae9a3e78d93373018c16387fb8e7,1,0.00
0xaeb01c8c39a1f3dce749680ad265b2d43e3dcb65,1,0.00
0x17e31bf839acb700e0f584797574a2c1fde46d0b,1,0.00
0x09564716e12eb2ca51f64d07d76aa88b7cdc0283,1,0.00
0xf0b55ab38f6ae201d548be347f5264dcbf620ed3,1,0.00
0x15f7320adb990020956d29edb6ba17f3d468001e,1,0.00
0x775df93d05784462129e69c662d773460f5ead12,1,0.00
0x0f087f42347a69be2754e4c89967b385e4d823cc,1,0.00
0xd5ca9fe5430a7d0994dc038365f0e317074695a8,1,0.00
0x68c311a6896ba62583875bbf823a712cb4a27bca,1,0.00
0x97a5370695c5a64004359f43889f398fb4d07fb1,1,0.00
0xcf50375dd4cc138623fed977071980629b8ec9d7,1,0.00
0xf0dff06d1047311b7f31f0e847abc9d63035778d,1,0.00
0xa9ef46b6c863b7d81b6f1bcd4cfe9e50275aa197,1,0.00
0xd46e642a7e609d122ccdd3f73fe8406a39142522,1,0.00
0xd72d4fef0f89219ff0fbe0cb489966e4c9a428d5,1,0.00
0xa5f123d4cbbe75646bc3d22486e611687ffcc842,1,0.00
0x00cd429dc28ff12c481c9609854141ee06c09f6a,1,0.00
0x2617df5793e7ab1303c889a939baf837ff73defd,1,0.00
0x713f90407fc49f0bc59a6661c23fb67692a80e6d,1,0.00
0xce008f15f12f2dbafb6ad00ab92e77a0d306e763,1,0.00
0x493e8215081ebc465312ee89e6c82ec8326b246a,1,0.00
0x42bf256dd1abb69590afc4e352a5c518c0e48215,1,0.00
0x81ed40511fa176364e022ba89aff568b5238830a,1,0.00
0xb1708258b9cd32cbe8c15691cb82d3aacd109828,1,0.00
0xeb1cee1424ff8c6e6391464ec0f10c62044c6cb4,1,0.00
0x660c6268b33f955ab8dd0a3947e41a3fcd05b8c1,1,0.00
0x43b046637eded50ec81536334a2c1ccd58d3270f,1,0.00
0xa51223ba3f32c50d2d12a76b96e098309e29f2bc,1,0.00
0xd23b352fe20cbbe5101d835934a2e5cc65d51a6d,1,0.00
0x5080b717e5ed21adc5eefac5476f63cf3e454a5d,1,0.00
